County,CountyDrinking,Population,Excessive,BirthDefectCases,Lower CI (%) (with nulls),BDPrevalence,Upper CI (%) (with nulls),Data Suppression (with nulls) (infants),Texas big cities,Texas small cities,Birth Defect,Color nulls supressed data (CI dash),Color nulls supressed data (infants),,,,,,Drinking Error Margin,DrinkingZ,Geometry (generated),Latitude (generated),Longitude (generated),GDPcap,FIPS,FIPS State,OverdoseRate,Standard Deviation,Lower Confidence Limit,Upper Confidence Limit,Urban/Rural Category,Census Division,Area,PopDensity,Age,BelowPoverty,SmokingRate,Chlamydia,TeenBirth,AirPollution,PhysEnvi,HousingProblem,Obesity,Diabetes,HigherBD,AfricanA,White
Castro,0.16,"7,371",1179.36,69,4.77%,0.0613,7.76%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,16-17%,-0.92,"POLYGON((-102.0904 34.3131,-102.5256 34.313,-102.5252 34.7469,-102.1688 34.7466,-101.9985 34.7482,-101.998 34.313,-102.0904 34.3131))",34.5304,-102.2618,47097.00,48069,48,6.79941,1.66681,4.28616,10.78096,Noncore,7,894,8,34.4,24.6,16,274.3,60,7.3,55.00,13,28,11,0.07760,2.0,31.1
Chambers,0.21,"46,571",9779.91,369,6.22%,0.0693,7.64%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,20-22%,1.63,"POLYGON((-94.9801 29.8842,-94.4422 29.8895,-94.358 29.8875,-94.3543 29.561,-94.3709 29.555,-94.3716 29.5973,-94.4065 29.5983,-94.44 29.5651,-94.4609 29.5609,-94.4702 29.5571,-94.5459 29.5725,-94.7625 29.5241,-94.7039 29.6325,-94.6957 29.7565,-94.7389 29.7906,-94.8141 29.759,-94.8728 29.6714,-94.9303 29.6737,-94.9164 29.6993,-94.9453 29.7163,-94.9138 29.7663,-94.908 29.8264,-94.9675 29.8588,-94.9801 29.8842))",29.7071,-94.5223,47110.00,48071,48,20.65897,1.96484,17.16646,24.86331,Large Fringe Metro,7,597,99,34.7,16.1,15,195.6,25,9.9,223.00,11,28,10,0.07640,7.9,67.0
Cherokee,0.16,"50,412",8065.92,449,5.55%,0.0611,6.68%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,16-17%,-0.83,"POLYGON((-95.4285 32.0845,-95.4599 32.1356,-94.9853 32.138,-94.985 31.8462,-94.9371 31.8455,-94.9745 31.782,-94.9262 31.7619,-94.9664 31.7523,-94.9654 31.6944,-94.9241 31.5796,-94.8658 31.527,-95.0032 31.4261,-95.0677 31.4659,-95.1007 31.4684,-95.0944 31.5041,-95.1439 31.54,-95.1395 31.5616,-95.1766 31.5848,-95.2091 31.5704,-95.2734 31.5929,-95.2901 31.6842,-95.3386 31.7353,-95.3996 31.7668,-95.4125 31.8349,-95.4409 31.8416,-95.4371 31.902,-95.4203 31.9264,-95.4536 31.9605,-95.4245 32.0194,-95.4285 32.0845))",31.7826,-95.1853,47303.00,48073,48,14.30484,1.36024,11.88698,17.21543,Micropolitan,7,"1,053",51,38.2,28,18,531.6,59,10.0,196.00,17,33,13,0.06680,13.9,60.5
Childress,0.20,"6,664",1332.8,31,3.00%,0.0442,6.28%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,19-21%,1.21,"POLYGON((-99.9977 34.3118,-100.4178 34.3135,-100.4159 34.7475,-100.0004 34.7465,-99.9975 34.5606,-99.9977 34.3118))",34.5307,-100.2067,47312.00,48075,48,14.29341,3.10948,9.46198,21.59399,Noncore,7,697,10,34.6,21,17,606.7,62,7.5,50.00,17,30,9,0.06280,9.7,57.0
Clay,0.19,"10,218",1941.42,51,4.24%,0.057,7.49%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,18-20%,0.69,"POLYGON((-98.4214 33.4668,-98.4236 33.836,-98.4235 34.0828,-98.3984 34.1285,-98.364 34.1571,-98.3002 34.1346,-98.2325 34.1346,-98.1688 34.1143,-98.1391 34.1419,-98.1019 34.1468,-98.0905 34.1225,-98.1202 34.0721,-98.0838 34.0417,-98.0844 34.0029,-98.0163 33.9941,-97.9742 34.0067,-97.9468 33.9909,-97.9712 33.9372,-97.9572 33.9145,-97.9779 33.8899,-97.9789 33.4671,-98.4214 33.4668))",33.81,-98.2007,47331.00,48077,48,19.29862,3.12372,14.13521,26.34954,Noncore,7,"1,089",10,46.1,17.9,15,251.0,29,8.6,141.00,11,29,11,0.07490,0.7,89.8
Cochran,0.16,"2,547",407.52,22,3.24%,0.0516,7.82%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,15-16%,-1.11,"POLYGON((-102.5948 33.3885,-103.0567 33.3884,-103.0526 33.5706,-103.0473 33.8247,-102.6154 33.8251,-102.5948 33.3885))",33.6054,-102.8284,47333.00,48079,48,14.12955,3.61675,8.74552,22.83063,Noncore,7,775,3,36.4,44.7,17,372.5,41,6.8,61.00,17,28,11,0.07820,3.5,36.6
Coke,0.16,"3,285",525.6,23,4.38%,0.0691,10.36%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,16-17%,-0.74,"POLYGON((-100.8254 31.6962,-100.8216 32.0866,-100.6654 32.0854,-100.2351 32.0824,-100.2358 31.693,-100.8254 31.6962))",31.8934,-100.5296,48235.00,48081,48,11.22889,3.13313,6.68266,18.86919,Noncore,7,912,4,45.1,28.1,15,277.9,40,7.5,109.00,10,29,12,0.10360,0.6,75.6
Coleman,0.17,"7,684",1306.28,46,4.17%,0.0569,7.59%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,16-17%,-0.71,"POLYGON((-99.7217 31.5768,-99.714 32.0821,-99.6314 32.0813,-99.1959 32.0792,-99.2036 31.7486,-99.2028 31.4671,-99.2403 31.4826,-99.3152 31.4099,-99.4494 31.4701,-99.4383 31.4452,-99.513 31.4247,-99.5369 31.4836,-99.6018 31.4922,-99.6268 31.4678,-99.6762 31.4975,-99.6526 31.5275,-99.6919 31.5389,-99.6734 31.5553,-99.7217 31.5768))",31.7432,-99.4612,48387.00,48083,48,8.08404,1.86772,5.2241,12.50662,Noncore,7,"1,263",6,47.3,24.4,16,359.8,54,7.8,147.00,13,28,12,0.07590,2.9,76.5
Collin,0.19,"1,064,465",202248.35,"6,617",5.82%,0.0596,6.11%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,18-20%,0.57,"POLYGON((-96.844 32.9876,-96.834 33.4055,-96.3846 33.3978,-96.3845 33.3411,-96.2954 33.3519,-96.2972 32.9818,-96.5169 32.9823,-96.844 32.9876))",33.1929,-96.5676,48399.00,48085,48,9.49165,0.27648,8.9652,10.04919,Large Fringe Metro,7,841,"1,508",37.6,11,12,696.2,12,10.9,142.00,13,27,9,0.06110,9.7,57.3
Collingsworth,0.16,"2,652",424.32,18,3.20%,0.0541,8.54%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,16-17%,-0.75,"POLYGON((-100.5407 34.7477,-100.539 35.1831,-100.0004 35.1827,-100.0004 35.0304,-100.0004 34.7465,-100.4159 34.7475,-100.5407 34.7477))",34.9674,-100.2701,49130.00,48087,48,14.59846,3.60929,9.17254,23.23475,Noncore,7,918,3,39.6,29.7,17,,37,7.3,102.00,12,28,11,0.08540,5.1,57.6
Colorado,0.17,"20,557",3494.69,106,3.39%,0.0419,4.99%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,16-18%,-0.46,"POLYGON((-96.8742 29.6327,-96.7171 29.7927,-96.5698 29.9615,-96.5357 29.9073,-96.4135 29.8249,-96.3307 29.8149,-96.3115 29.7561,-96.2706 29.7171,-96.2551 29.6659,-96.2004 29.6573,-96.1756 29.6338,-96.3077 29.5145,-96.3486 29.4083,-96.6403 29.2478,-96.6585 29.2639,-96.5606 29.3354,-96.793 29.5772,-96.8329 29.5769,-96.8429 29.616,-96.8742 29.6327))",29.6055,-96.5236,49195.00,48089,48,9.89304,1.63196,7.20488,13.5855,Noncore,7,960,23,42.4,20.6,15,431.2,35,9.7,161.00,10,28,12,0.04990,11.9,56.3
Comal,0.19,"161,501",30685.19,825,5.02%,0.0539,5.76%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,19-20%,0.85,"POLYGON((-98.6461 29.7453,-98.414 29.9376,-98.2976 30.038,-98.0305 29.8485,-97.9993 29.7524,-98.0893 29.6839,-98.3108 29.5945,-98.3455 29.6198,-98.3428 29.6525,-98.379 29.6629,-98.3805 29.7023,-98.3393 29.722,-98.4216 29.7432,-98.5275 29.7408,-98.5529 29.7602,-98.6033 29.74,-98.6461 29.7453))",29.8168,-98.2891,49206.00,48091,48,12.85421,0.82514,11.33874,14.57277,Large Fringe Metro,7,560,379,41.6,12.5,13,431.6,27,10.2,122.00,14,28,8,0.05760,2.1,67.7
Comanche,0.17,"13,594",2310.98,69,3.56%,0.0457,5.79%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,16-17%,-0.7,"POLYGON((-98.9244 32.078,-98.6608 32.2041,-98.5512 32.2614,-98.3275 31.9413,-98.2512 31.9801,-98.2084 31.9175,-98.1566 31.8417,-98.4637 31.684,-98.4928 31.7236,-98.6684 31.7005,-98.9244 32.078))",31.9702,-98.5993,49333.00,48093,48,10.96538,2.05096,7.66849,15.68078,Noncore,7,938,15,43.9,22.5,16,312.7,47,8.4,149.00,16,29,13,0.05790,0.5,69.5
Concho,0.20,"3,303",660.6,,,,,Suppressed,,,Infants/Fetuses with Birth Defects,Suppressed, ,,,,,,20-21%,1.26,"POLYGON((-100.1152 31.088,-100.1112 31.5803,-99.7217 31.5768,-99.6734 31.5553,-99.6919 31.5389,-99.6526 31.5275,-99.6762 31.4975,-99.6268 31.4678,-99.6018 31.4922,-99.6032 31.0873,-100.1152 31.088))",31.3218,-99.8577,49380.00,48095,48,7.73047,2.16536,4.5904,13.01231,Noncore,7,984,3,43.2,19.1,15,196.0,43,7.5,48.00,6,31,9,,1.1,59.8
Cooke,0.19,"41,668",7916.92,249,4.06%,0.0464,5.21%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,18-20%,0.73,"POLYGON((-97.3831 33.4305,-97.4871 33.4338,-97.4842 33.9154,-97.4511 33.8917,-97.4629 33.8429,-97.4439 33.8237,-97.3729 33.8195,-97.3319 33.8845,-97.2556 33.8637,-97.2462 33.9003,-97.2103 33.9159,-97.1855 33.9007,-97.1668 33.8404,-97.1974 33.8298,-97.1934 33.7606,-97.1513 33.7226,-97.1111 33.7194,-97.0887 33.7387,-97.088 33.8087,-97.048 33.8179,-97.0873 33.8398,-97.0573 33.8569,-97.0235 33.8445,-96.9856 33.8865,-96.9963 33.9427,-96.9446 33.9492,-96.9439 33.4164,-97.3831 33.4305))",33.6877,-97.2144,49467.00,48097,48,19.73312,1.80776,16.5078,23.58981,Micropolitan,7,875,52,40.3,21,15,321.2,44,9.8,79.00,14,29,11,0.05210,3.1,75.3
Coryell,0.21,"83,093",17449.53,633,6.01%,0.0652,7.03%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,20-22%,1.64,"POLYGON((-98.18 31.4637,-97.7664 31.6725,-97.6898 31.711,-97.6052 31.5878,-97.4186 31.3202,-97.9071 31.0694,-98.18 31.4637))",31.394,-97.8008,49585.00,48099,48,7.61297,0.80585,6.19695,9.35294,Medium Metro,7,"1,052",82,33.2,19.8,17,532.4,34,9.5,98.00,12,34,10,0.07030,16.2,58.5
Cottle,0.15,"1,380",207,,,,,Suppressed,,,Infants/Fetuses with Birth Defects,Suppressed, ,,,,,,15-16%,-1.45,"POLYGON((-100.5187 33.8357,-100.5173 34.3141,-100.4178 34.3135,-99.9977 34.3118,-99.9976 34.2244,-100.0098 34.242,-100.047 34.2298,-100.0485 33.836,-100.5187 33.8357))",34.0712,-100.2829,49691.00,48101,48,10.03115,2.97156,5.79866,17.34561,Noncore,7,901,1,47.1,35.3,16,701.3,51,7.2,16.00,6,28,12,,9.1,65.0
Crane,0.20,"4,675",935,38,3.71%,0.0524,7.19%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,19-20%,0.99,"POLYGON((-102.3891 31.0872,-102.4284 31.1251,-102.4287 31.1899,-102.456 31.2231,-102.5206 31.2629,-102.5788 31.2717,-102.6764 31.3268,-102.7674 31.2938,-102.7672 31.6517,-102.3181 31.6513,-102.3132 31.3746,-102.3012 31.0862,-102.3891 31.0872))",31.3689,-102.5403,49814.00,48103,48,12.83255,3.21498,8.01747,20.54136,Noncore,7,785,6,33.4,26.1,13,336.8,53,7.1,47.00,16,31,10,0.07190,2.7,32.0
Crockett,0.17,"3,098",526.66,27,3.79%,0.0576,8.38%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,17-18%,-0.33,"POLYGON((-101.7685 30.6534,-101.8099 30.7021,-101.8159 30.7517,-101.8603 30.8737,-101.8911 30.8909,-101.8745 30.9122,-101.9922 30.9891,-102.0317 30.9988,-102.0795 30.9869,-102.1394 30.9948,-102.2022 31.0308,-102.2788 31.0331,-102.3297 31.0681,-102.3891 31.0872,-102.3012 31.0862,-101.7762 31.0798,-101.2748 31.0794,-100.9622 31.0825,-100.9606 30.7061,-100.9606 30.2878,-101.7584 30.288,-101.741 30.321,-101.6583 30.3563,-101.7408 30.4223,-101.7258 30.4718,-101.7003 30.4576,-101.68 30.5217,-101.6467 30.5508,-101.6634 30.5884,-101.6527 30.6204,-101.7092 30.6526,-101.7685 30.6534))",30.6879,-101.3732,49822.00,48105,48,11.61498,2.81261,7.36355,18.32477,Noncore,7,"2,807",1,40.6,18.4,14,512.1,71,7.3,31.00,12,28,10,0.08380,0.6,31.7
Crosby,0.16,"5,133",821.28,55,5.65%,0.075,9.77%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,15-16%,-1.14,"POLYGON((-101.5636 33.8305,-101.0412 33.8336,-101.0388 33.3972,-101.5569 33.3948,-101.5636 33.8305))",33.6161,-101.3,49825.00,48107,48,10.46442,2.51827,6.65092,16.46559,Noncore,7,900,5,38.5,33.1,16,401.5,59,7.6,82.00,16,29,10,0.09770,3.0,39.5
Culberson,0.14,"2,188",306.32,16,3.00%,0.0525,8.52%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,14-15%,-2.03,"POLYGON((-104.9172 30.6636,-104.9164 30.836,-104.9076 30.8359,-104.9091 31.2466,-104.9129 31.6251,-104.9183 31.8133,-104.9183 32.0005,-104.8478 32.0005,-104.0245 32,-104.1024 31.1052,-104.3004 31.0001,-104.9172 30.6636))",31.3019,-104.4978,49855.00,48109,48,11.95848,3.56476,6.89088,20.74132,Noncore,7,"3,812",1,39.2,34.3,18,402.5,76,5.9,18.00,16,30,11,0.08520,0.9,21.9
Dallam,0.20,"7,115",1423,71,3.52%,0.0451,5.69%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,19-20%,0.96,"POLYGON((-102.163 36.0552,-103.0408 36.0552,-103.0419 36.5004,-103.0024 36.5004,-102.1625 36.5003,-102.163 36.0552))",36.2673,-102.6022,49945.00,48111,48,9.67453,2.49993,5.962,15.69623,Noncore,7,"1,503",5,30.1,34.2,16,519.6,74,6.0,76.00,14,32,9,0.05690,1.5,49.1
Dallas,0.17,"2,613,539",444301.63,"28,174",7.25%,0.0734,7.42%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,17-18%,-0.26,"POLYGON((-96.53 32.5453,-97.0384 32.5487,-97.0324 32.9846,-97.0323 32.9893,-96.844 32.9876,-96.5169 32.9823,-96.519 32.8136,-96.5231 32.5452,-96.53 32.5453))",32.7661,-96.7774,50112.00,48113,48,15.43916,0.22008,15.01379,15.87671,Large Central Metro,7,873,"2,996",34.3,24,15,478.4,42,10.0,231.00,22,29,9,0.07420,22.5,29.2
Dawson,0.18,"12,456",2242.08,91,4.01%,0.0498,6.11%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,18-19%,0.34,"POLYGON((-102.2027 32.5233,-102.2085 32.959,-102.0762 32.9597,-101.6913 32.9618,-101.6887 32.5252,-102.2027 32.5233))",32.737,-101.9478,50131.00,48115,48,12.48878,2.20144,8.90764,17.51132,Micropolitan,7,900,13,33.7,33.8,16,303.3,70,7.3,43.00,8,30,10,0.06110,5.3,35.3
Deaf Smith,0.18,"18,583",3344.94,176,4.56%,0.0534,6.13%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,17-18%,-0.17,"POLYGON((-102.5252 34.7469,-103.0428 34.7474,-103.0427 34.9541,-103.0424 35.1831,-102.6119 35.1869,-102.1675 35.1832,-102.1688 34.7466,-102.5252 34.7469))",34.9635,-102.6051,50236.00,48117,48,8.50813,1.51662,6.04563,11.97222,Micropolitan,7,"1,497",12,31.3,27.3,15,437.9,82,7.0,41.00,15,29,9,0.06130,0.9,24.7
Delta,0.17,"5,230",889.1,38,4.17%,0.0589,8.09%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,16-18%,-0.47,"POLYGON((-95.3086 33.3772,-95.3415 33.3618,-95.4003 33.3717,-95.5018 33.3479,-95.5839 33.3595,-95.6737 33.3021,-95.759 33.296,-95.779 33.2602,-95.8618 33.2193,-95.8587 33.4098,-95.8577 33.4617,-95.8258 33.4594,-95.7584 33.4951,-95.6809 33.4721,-95.643 33.4867,-95.5622 33.4759,-95.527 33.4459,-95.4932 33.4556,-95.373 33.3909,-95.3086 33.3807,-95.3053 33.3787,-95.3086 33.3772))",33.357,-95.7245,50247.00,48119,48,16.07032,3.47063,10.66891,24.21116,Noncore,7,257,22,41.2,34.8,17,306.7,45,9.8,171.00,17,32,12,0.08090,6.2,81.0
Denton,0.21,"906,422",190348.62,"5,877",5.75%,0.059,6.05%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,21-22%,1.83,"POLYGON((-97.0324 32.9846,-97.3985 32.9902,-97.3831 33.4305,-96.9439 33.4164,-96.8411 33.4136,-96.834 33.4055,-96.844 32.9876,-97.0323 32.9893,-97.0324 32.9846))",33.2078,-97.1156,50251.00,48121,48,9.69098,0.30188,9.11733,10.3009,Large Fringe Metro,7,879,"1,215",37.2,22.4,14,289.3,16,10.9,151.00,14,24,8,0.06050,9.8,59.3
DeWitt,0.17,"19,824",3370.08,138,4.64%,0.0557,6.50%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,17-18%,-0.3,"POLYGON((-97.5746 28.8133,-97.7551 29.0071,-97.6131 29.1098,-97.2401 29.3845,-96.9764 29.104,-97.3059 28.864,-97.34 28.8956,-97.4173 28.9252,-97.5746 28.8133))",29.0996,-97.3051,50269.00,48123,48,9.19185,1.54766,6.652,12.70229,Noncore,7,909,22,41.7,11.6,15,610.7,51,9.6,181.00,13,29,12,0.06500,8.6,54.7
Dickens,0.17,"1,770",300.9,,,,,Suppressed,,,Infants/Fetuses with Birth Defects,Suppressed, ,,,,,,17-18%,-0.22,"POLYGON((-101.0412 33.8336,-100.5187 33.8357,-100.5174 33.3979,-101.0388 33.3972,-101.0412 33.8336))",33.6166,-100.7789,50287.00,48125,48,9.21036,2.78874,5.26753,16.09978,Noncore,7,902,2,49.2,27.2,16,,63,7.1,4.00,11,28,10,,4.8,62.8
Dimmit,0.15,"8,615",1292.25,71,3.50%,0.0448,5.65%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,14-16%,-1.53,"POLYGON((-100.1143 28.6481,-99.8753 28.6439,-99.409 28.6406,-99.3957 28.6408,-99.3942 28.2046,-100.1137 28.1978,-100.1143 28.6481))",28.4132,-99.7548,50426.00,48127,48,8.88536,1.97534,5.8325,13.53787,Noncore,7,"1,329",6,34.3,60.4,16,919.9,61,8.1,75.00,20,29,10,0.05650,1.1,10.5
Donley,0.18,"3,258",586.44,19,3.40%,0.0565,8.83%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,17-19%,0.25,"POLYGON((-100.9449 34.7483,-101.0907 34.7482,-101.0863 35.1821,-100.539 35.1831,-100.5407 34.7477,-100.9449 34.7483))",34.9669,-100.8141,50483.00,48129,48,11.82443,2.97106,7.37766,18.95082,Noncore,7,927,3,43.7,20,15,343.0,37,7.0,14.00,12,28,12,0.08830,5.0,80.9
Duval,0.15,"9,831",1474.65,106,5.53%,0.0683,8.13%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,14-15%,-1.77,"POLYGON((-98.8033 28.0575,-98.3343 28.0578,-98.2355 28.058,-98.2325 27.2625,-98.5237 27.2651,-98.5223 27.3433,-98.625 27.3577,-98.7983 27.354,-98.8033 28.0575))",27.6613,-98.5174,50538.00,48131,48,12.28725,2.29989,8.59126,17.57609,Noncore,7,"1,793",5,35.9,34.7,17,1545.5,63,8.5,150.00,21,27,10,0.08130,1.0,8.7
Eastland,0.18,"17,725",3190.5,99,3.94%,0.0484,5.90%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,17-18%,-0.15,"POLYGON((-98.9244 32.078,-99.1187 32.0796,-99.1143 32.5148,-99.0961 32.5148,-98.5763 32.5152,-98.4752 32.513,-98.4747 32.2991,-98.5512 32.2614,-98.6608 32.2041,-98.9244 32.078))",32.2936,-98.8015,50541.00,48133,48,8.68372,1.51333,6.21588,12.13057,Noncore,7,927,20,42,26.3,16,231.1,37,8.3,130.00,11,31,11,0.05900,1.8,79.1
Ector,0.20,"165,171",33034.2,"1,929",6.33%,0.0663,6.92%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,19-20%,0.91,"POLYGON((-102.7989 31.6518,-102.7991 32.0858,-102.287 32.087,-102.2873 31.6513,-102.3181 31.6513,-102.7672 31.6517,-102.7989 31.6518))",31.8599,-102.5429,50764.00,48135,48,17.81546,0.91156,16.11844,19.69174,Small Metro,7,898,191,31.5,24.2,15,594.0,70,7.8,127.00,16,33,8,0.06920,4.3,32.6
Edwards,0.16,"1,422",227.52,15,3.98%,0.0711,11.73%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,15-17%,-1.03,"POLYGON((-100.6999 29.6239,-100.7004 30.2883,-100.1165 30.2903,-99.7541 30.2907,-99.7576 30.0741,-99.918 30.0736,-99.9676 30.0824,-99.973 30.0246,-99.9897 30.0257,-100.0023 29.8968,-100.0344 29.844,-100.0126 29.7957,-100.0363 29.7759,-100.0257 29.724,-100.0641 29.7109,-100.0183 29.6776,-100.0142 29.6235,-100.1121 29.6233,-100.6999 29.6239))",29.9663,-100.3478,51080.00,48137,48,6.97267,2.31318,3.80424,12.77327,Noncore,7,"2,118",1,48.9,28.5,13,264.0,54,7.3,2.00,12,30,12,0.11730,0.4,43.1
El Paso,0.18,"192,455",34641.9,"7,043",5.51%,0.0564,5.77%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,18-19%,0.31,"POLYGON((-106.1911 31.4599,-106.2196 31.4816,-106.2452 31.5391,-106.2801 31.5615,-106.3079 31.6295,-106.3811 31.7321,-106.4514 31.7644,-106.4905 31.7489,-106.5282 31.7831,-106.5471 31.8073,-106.6053 31.8277,-106.6455 31.8987,-106.6118 31.92,-106.6185 32.0005,-106.3769 32.0012,-105.998 32.0023,-105.9933 31.4784,-105.9593 31.4784,-105.9585 31.4235,-105.9972 31.3872,-106.0162 31.3935,-106.0753 31.3976,-106.1911 31.4599))",31.6952,-106.1718,51132.00,48139,48,9.29124,0.6206,8.15454,10.58678,Large Fringe Metro,7,"1,013",864,36.2,30.7,13,362.4,30,10.5,222.00,14,35,11,0.05770,10.3,60.8
Ellis,0.18,"865,657",155818.26,"1,664",7.18%,0.0755,7.91%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,17-18%,-0.04,"POLYGON((-97.0862 32.2655,-97.0868 32.5494,-97.0384 32.5487,-96.53 32.5453,-96.5038 32.5269,-96.5102 32.4819,-96.4769 32.4342,-96.4345 32.4114,-96.4521 32.3586,-96.3831 32.3289,-96.6253 32.2066,-96.8962 32.074,-96.9407 32.0521,-97.0862 32.2655))",32.3014,-96.7619,51236.00,48141,48,12.47215,0.3335,11.83559,13.14316,Medium Metro,7,936,261,33.8,14.5,15,364.8,48,9.5,184.00,19,30,10,0.07910,3.0,11.8
Erath,0.21,"42,545",8934.45,292,5.44%,0.0615,6.85%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,20-22%,1.47,"POLYGON((-98.2084 31.9175,-98.2512 31.9801,-98.3275 31.9413,-98.5512 32.2614,-98.4747 32.2991,-98.4752 32.513,-98.0685 32.5116,-97.9456 32.2335,-97.8648 32.0873,-98.0055 32.0179,-98.2084 31.9175))",32.214,-98.2274,51458.00,48143,48,11.10551,1.30966,8.83408,13.96174,Micropolitan,7,"1,083",41,32.6,25.5,17,603.1,20,8.8,193.00,22,27,9,0.06850,1.7,74.6
Falls,0.16,"16,968",2714.88,147,6.17%,0.0736,8.55%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,16-17%,-0.94,"POLYGON((-97.0702 30.9862,-97.2781 31.2798,-96.8011 31.5223,-96.5969 31.2209,-96.8291 31.1059,-96.8287 31.111,-97.0702 30.9862))",31.2537,-96.9393,51829.00,48145,48,10.82465,1.84278,7.8068,15.01034,Noncore,7,765,23,39.6,32.5,18,525.0,59,10.0,176.00,14,32,12,0.08550,23.3,51.2
Fannin,0.19,"35,662",6775.78,203,5.10%,0.0591,6.72%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,18-19%,0.46,"POLYGON((-96.2954 33.3519,-96.3845 33.3411,-96.3846 33.3978,-96.3795 33.7258,-96.3622 33.6918,-96.3184 33.6971,-96.303 33.7509,-96.2773 33.7697,-96.2304 33.7485,-96.1781 33.7605,-96.1492 33.8371,-96.1015 33.8467,-96.0488 33.8365,-95.9419 33.861,-95.9321 33.8865,-95.8433 33.8383,-95.855 33.8285,-95.8577 33.4617,-95.8587 33.4098,-96.2954 33.3519))",33.6132,-96.1193,51898.00,48147,48,14.06883,1.59893,11.28285,17.54374,Noncore,7,891,43,40.7,24.8,16,240.4,36,10.0,135.00,15,31,11,0.06720,6.5,79.0
Fayette,0.17,"24,435",4153.95,124,4.29%,0.052,6.12%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,17-18%,-0.36,"POLYGON((-97.1426 29.6281,-97.1305 29.6433,-97.3179 29.7847,-97.3158 29.7865,-97.0245 30.0514,-97.0192 30.032,-96.8459 30.116,-96.7946 30.1605,-96.7669 30.1387,-96.6472 30.1452,-96.622 30.0443,-96.5698 29.9615,-96.7171 29.7927,-96.8742 29.6327,-97.1426 29.6281))",29.8921,-96.9151,51936.00,48149,48,9.64136,1.42448,7.24995,12.8225,Noncore,7,950,28,47.1,14.7,13,386.3,27,9.6,162.00,12,27,13,0.06120,6.0,71.0
Fisher,0.17,"3,672",624.24,20,3.30%,0.0541,8.35%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,16-18%,-0.47,"POLYGON((-100.6606 32.5253,-100.6559 32.9635,-100.5192 32.9629,-100.1442 32.96,-100.1465 32.5228,-100.6606 32.5253))",32.7425,-100.4024,51982.00,48151,48,8.80725,2.36972,5.32894,14.55122,Noncore,7,899,4,44.9,16.6,14,444.2,44,7.6,33.00,10,28,12,0.08350,3.4,66.2
Floyd,0.15,"5,402",810.3,40,3.89%,0.0544,7.41%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,15-16%,-1.33,"POLYGON((-101.5636 33.8305,-101.5649 34.3125,-101.4716 34.3123,-101.0415 34.3124,-101.0412 33.8336,-101.5636 33.8305))",34.069,-101.303,52054.00,48153,48,8.99617,2.1406,5.74421,14.08794,Noncore,7,992,5,38.7,30.2,17,338.9,53,7.3,46.00,16,29,11,0.07410,3.2,36.2
